id_videojuego,id_venta,ventas_na,ventas_eu,ventas_jp,otras_ventas,ventas_globales
1,101,41.49,29.02,3.77,8.46,82.74
2,102,15.85,12.88,3.79,3.31,35.82
3,103,15.75,11.01,3.28,2.96,33
4,104,11.38,9.23,6.5,2.9,30.01
5,105,14.03,9.2,2.93,2.85,29.02
6,106,14.59,7.06,4.7,2.26,28.62
7,107,9.07,11,1.93,2.75,24.76
8,108,9.81,7.57,4.13,1.92,23.42
9,109,8.94,8.03,3.6,2.15,22.72
10,110,9.09,8.59,2.53,1.79,22
11,111,14.97,4.94,0.24,1.67,21.82
12,112,7.01,9.27,0.97,4.14,21.4
13,113,4.75,9.26,4.16,2.05,20.22
14,114,6.42,4.52,6.04,1.37,18.36
15,115,9.63,5.31,0.06,1.38,16.38
16,116,5.57,3.28,5.65,0.82,15.32
17,117,3.44,5.36,5.32,1.18,15.3
18,118,9.03,4.28,0.13,1.32,14.76
19,119,9.67,3.73,0.11,1.13,14.64
20,120,5.17,4.05,4.34,0.79,14.35
21,121,5.77,5.81,0.35,2.31,14.24
22,122,4.99,5.88,0.65,2.52,14.03
23,123,8.25,4.3,0.07,1.12,13.73
24,124,8.52,3.63,0.08,1.29,13.51
25,125,5.54,5.82,0.49,1.62,13.46
26,126,6.75,2.61,2.66,1.02,13.04
27,127,5.98,4.44,0.48,1.83,12.73
28,128,2.55,3.52,5.33,0.88,12.27
29,129,4.74,3.91,2.67,0.89,12.21
30,130,7.97,2.83,0.13,1.21,12.14
31,131,3.8,5.81,0.36,2.02,11.98
32,132,4.4,2.77,3.96,0.77,11.9
33,133,6.16,3.4,1.2,0.76,11.52
34,134,4.23,3.37,3.08,0.65,11.33
35,135,6.76,3.1,0.14,1.03,11.02
36,136,4.89,2.99,2.13,0.78,10.79
37,137,2.96,4.88,0.81,2.12,10.77
38,138,4.99,3.69,0.38,1.63,10.69
39,139,4.76,3.76,0.44,1.62,10.57
40,140,5.08,3.11,1.25,0.98,10.42
41,141,6.05,3.15,0,1.07,10.26
42,142,6.72,2.63,0.04,0.82,10.21
43,143,7.03,1.98,0.08,0.78,9.88
44,144,3.66,3.07,2.47,0.63,9.82
45,145,6.63,2.36,0.04,0.73,9.76
46,146,4.09,3.73,0.38,1.38,9.59
47,147,5.84,2.89,0.01,0.78,9.52
48,148,5.91,2.38,0.13,0.9,9.32
49,149,5.58,2.83,0.02,0.77,9.2
50,150,2.01,2.32,4.36,0.41,9.09
51,151,4.46,1.88,1.98,0.7,9.02
52,152,5.03,2.86,0.1,0.85,8.84
53,153,1.11,6.06,0.06,1.26,8.49
54,154,1.79,3.53,2.49,0.68,8.49
55,155,3.81,2.3,1.58,0.73,8.42
56,156,2.91,1.86,3.14,0.43,8.33
57,157,1.06,5.05,0.13,2.01,8.24
58,158,0.98,6.42,0,0.71,8.11
59,159,2.58,3.9,0.66,0.91,8.06
60,160,2.82,1.78,2.69,0.55,7.84
61,161,3.66,2.42,0.98,0.64,7.69
62,162,2.93,3.29,0.22,1.23,7.67
63,163,2.8,3.3,0.14,1.37,7.6
64,164,3.24,1.35,2.42,0.43,7.45
65,165,4.79,1.9,0,0.69,7.37
66,166,4.46,2.13,0.06,0.69,7.34
67,167,3.83,2.19,0.6,0.7,7.31
68,168,4.52,2.09,0.01,0.67,7.3
69,169,3.51,3.03,0,0.73,7.27
70,170,2.85,2.93,0.35,1.1,7.23
71,171,3.13,2.07,1.27,0.49,6.96
72,172,2.47,3.15,0.24,1.1,6.96
73,173,4.14,2.21,0,0.56,6.91
74,174,0.78,4.32,0.07,1.73,6.9
75,175,2.77,2.8,0.19,1.06,6.83
76,176,3.5,2.64,0,0.67,6.81
77,177,4.15,1.92,0.06,0.64,6.76
78,178,3.27,2.25,0.21,1,6.73
79,179,3.1,2.3,0.28,1.04,6.72
80,180,0.84,4.32,0.11,1.42,6.69
81,181,1.67,2.78,1.6,0.62,6.67
82,182,2.79,2.61,0.17,1.03,6.6
83,183,0.79,4.29,0.05,1.47,6.59
84,184,3.25,1.84,1.03,0.47,6.59
85,185,2.55,2.71,0.25,1.05,6.56
86,186,2.64,2.56,0.16,1.14,6.5
87,187,4.34,1.35,0.06,0.61,6.36
88,188,3.7,1.97,0.09,0.57,6.34
89,189,0.07,6.21,0,0,6.28
90,190,3.92,1.78,0.03,0.51,6.24
91,191,4.05,1.62,0.07,0.49,6.24
92,192,3.54,1.9,0.07,0.6,6.11
93,193,2.63,1.74,0.83,0.83,6.03
94,194,2.41,2.28,0.28,1.01,5.99
95,195,2.8,2.05,0.17,0.9,5.92
96,196,0.66,0.69,4.35,0.15,5.84
97,197,3.66,1.63,0,0.53,5.83
98,198,3.13,1.94,0.07,0.58,5.72
99,199,2.49,2.05,0.16,0.96,5.65
100,200,2.54,1.95,0.21,0.87,5.57
101,201,3.28,1.65,0.07,0.55,5.55
102,202,2.7,1.91,0.11,0.8,5.53
103,203,2.99,1.92,0.1,0.51,5.51
104,204,2.72,1.87,0,0.84,5.43
105,205,1.97,2.51,0,0.94,5.42
106,206,1.74,1.24,1.87,0.52,5.36
107,207,3.13,1.71,0.03,0.44,5.3
108,208,3.1,1.56,0.08,0.51,5.27
109,209,1.22,2.48,1.03,0.52,5.26
110,210,2.43,2.15,0,0.62,5.2
111,211,2.32,1.3,1.27,0.31,5.19
112,212,1.08,3.48,0.03,0.58,5.18
113,213,1.9,1.83,0.95,0.49,5.17
114,214,0.96,2.02,1.89,0.28,5.15
115,215,1.64,2.48,0.44,0.58,5.14
116,216,3.59,1.11,0.05,0.38,5.13
117,217,3.21,1.53,0.01,0.38,5.13
118,218,3.22,1.69,0,0.2,5.12
119,219,1.96,1.43,1.08,0.65,5.11
120,220,2.66,2.01,0,0.41,5.08
121,221,0.6,3.29,0.06,1.13,5.08
122,222,2.59,1.06,0.8,0.57,5.02
123,223,3.06,1.18,0.29,0.46,5
124,224,3.39,1.03,0.09,0.44,4.96
125,225,1.85,1.2,1.54,0.37,4.96
126,226,2.31,1.73,0.12,0.78,4.94
127,227,2.89,1.54,0,0.46,4.9
128,228,2.74,1.36,0.12,0.63,4.84
129,229,2.56,1.68,0,0.59,4.83
130,230,1.91,2,0.09,0.83,4.83
131,231,0.57,3.14,0.04,1.07,4.82
132,232,0.28,3.75,0.06,0.69,4.77
133,233,2.99,1.31,0.04,0.41,4.76
134,234,1.87,1.12,1.32,0.37,4.68
135,235,2.08,2.04,0.06,0.47,4.64
136,236,3.06,1.12,0,0.44,4.62
137,237,1.89,1.99,0.22,0.48,4.58
138,238,1.78,1.39,1.1,0.3,4.58
139,239,1.55,1.15,1.44,0.43,4.57
140,240,1.78,1.87,0.07,0.82,4.55
141,241,3.19,0.92,0.01,0.42,4.53
142,242,1.96,1.69,0.08,0.74,4.47
143,243,1.54,1.94,0.19,0.77,4.45
144,244,2.55,1.11,0.46,0.33,4.44
145,245,2.67,1.35,0.01,0.39,4.42
146,246,2.82,1.05,0.13,0.4,4.39
147,247,1.73,1.73,0.14,0.75,4.35
148,248,0.92,2.93,0.01,0.46,4.31
149,249,2.75,1.18,0,0.37,4.31
150,250,2.51,1.27,0.11,0.41,4.31
151,251,2.64,1.2,0.03,0.39,4.26
152,252,2.11,1.11,0.72,0.3,4.25
153,253,2.23,1.34,0.07,0.61,4.25
154,254,1.41,2.02,0.1,0.72,4.24
155,255,1.7,2.27,0,0.23,4.21
156,256,2.03,1.27,0.62,0.3,4.21
157,257,1.3,2.07,0.18,0.65,4.2
158,258,1.28,1.83,0.57,0.53,4.2
159,259,2.25,1.47,0.04,0.43,4.19
160,260,2.02,1.06,0.58,0.53,4.19
161,261,0.84,2.79,0.02,0.53,4.19
162,262,1.4,1.86,0.11,0.77,4.14
163,263,4.03,0,0.09,0,4.12
164,264,2.14,1.2,0.37,0.4,4.1
165,265,2.13,1.5,0.05,0.42,4.1
166,266,2.45,1.26,0.01,0.37,4.09
167,267,2.57,1.52,0,0,4.09
168,268,2.65,1.06,0.04,0.33,4.08
169,269,2.35,1.28,0.03,0.41,4.06
170,270,1.12,2.12,0.1,0.69,4.03
171,271,1.38,1.87,0.12,0.65,4.02
172,272,2.15,1.2,0.07,0.59,4.01
173,273,0.92,1.78,0.92,0.37,4
174,274,2.67,0.89,0.05,0.37,3.99
175,275,2.1,1.36,0.06,0.4,3.92
176,276,1.18,1.96,0.08,0.7,3.92
177,277,1.33,1.71,0.13,0.73,3.89
178,278,0.67,0.49,2.62,0.11,3.89
179,279,1.53,1.61,0.06,0.67,3.88
180,280,1.15,2.09,0,0.64,3.88
181,281,2.12,1.14,0.1,0.51,3.87
182,282,2.48,0.65,0.03,0.69,3.85
183,283,0.87,1.57,1.05,0.35,3.84
184,284,2.26,0.48,0.81,0.27,3.83
185,285,1.06,1.93,0.41,0.43,3.82
186,286,1.44,1.37,0.73,0.27,3.81
187,287,1.49,1.58,0.1,0.61,3.79
188,288,1.14,1.91,0.27,0.46,3.78
189,289,2.4,1.03,0,0.36,3.78
190,290,1.98,1.47,0,0.32,3.76
191,291,2.03,1.56,0,0.17,3.76
192,292,1.98,0.88,0.59,0.32,3.76
193,293,0.96,2,0.21,0.56,3.73
194,294,1.3,1.51,0.27,0.61,3.69
195,295,1.59,1.61,0.08,0.41,3.69
196,296,0,0,3.67,0,3.67
197,297,2.33,0.97,0,0.35,3.65
198,298,0.71,1.8,0.4,0.74,3.64
199,299,0.6,2.46,0.05,0.52,3.63
200,300,1.78,1.42,0.05,0.38,3.63
201,301,1.28,1.61,0.15,0.57,3.61
202,302,2.05,1.4,0,0.16,3.61
203,303,1.61,1.5,0.1,0.39,3.61
204,304,2.14,1.08,0.02,0.29,3.53
205,305,0.71,2.4,0.02,0.4,3.53
206,306,2.66,0.5,0.05,0.3,3.52
207,307,1.22,1.66,0.27,0.38,3.52
208,308,2.11,0.94,0.12,0.34,3.51
209,309,2.84,0.39,0.03,0.24,3.5
210,310,2.2,0.97,0.02,0.31,3.5
211,311,0.59,1.83,0.73,0.35,3.5
212,312,1.94,1.22,0.02,0.31,3.49
213,313,2.09,1.02,0.04,0.32,3.48
214,314,2.11,1.01,0.01,0.35,3.48
215,315,2.26,0.89,0,0.3,3.46
216,316,0.88,1.75,0.1,0.72,3.45
217,317,0,0,3.44,0,3.44
218,318,2.39,0.73,0.03,0.29,3.44
219,319,1.34,1.54,0.17,0.38,3.43
