id_version,nombre_videojuego,ano_lanzamiento,id_desarrolladora,id_videojuego_base
1,Wii Sports,2006,1,1
2,Mario Kart Wii,2008,1,2
3,Wii Sports Resort,2009,1,3
4,New Super Mario Bros.,2006,1,4
5,Wii Play,2006,1,5
6,New Super Mario Bros. Wii,2009,1,6
7,Nintendogs,2005,1,7
8,Mario Kart DS,2005,1,8
9,Wii Fit,2007,1,9
10,Wii Fit Plus,2009,1,10
11,Kinect Adventures!,2010,2,11
12,Grand Theft Auto V,2013,3,12
13,Brain Age: Train Your Brain in Minutes a Day,2005,1,13
14,Pokemon Diamond/Pokemon Pearl,2006,1,14
15,Grand Theft Auto V,2013,3,12
16,Pokemon Black/Pokemon White,2010,1,15
17,Brain Age 2: More Training in Minutes a Day,2005,1,16
18,Call of Duty: Modern Warfare 3,2011,4,17
19,Call of Duty: Black Ops,2010,4,18
20,Pokemon X/Pokemon Y,2013,1,19
21,Call of Duty: Black Ops 3,2015,4,20
22,Call of Duty: Black Ops II,2012,4,21
23,Call of Duty: Black Ops II,2012,4,21
24,Call of Duty: Modern Warfare 2,2009,4,22
25,Call of Duty: Modern Warfare 3,2011,4,17
26,Super Smash Bros. Brawl,2008,1,23
27,Call of Duty: Black Ops,2010,4,18
28,Animal Crossing: Wild World,2005,1,24
29,Mario Kart 7,2011,1,25
30,Halo 3,2007,2,26
31,Grand Theft Auto V,2014,3,12
32,Pokemon HeartGold/Pokemon SoulSilver,2009,1,27
33,Super Mario Galaxy,2007,1,28
34,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,1,29
35,Grand Theft Auto IV,2008,3,30
36,Super Mario 3D Land,2011,1,31
37,Gran Turismo 5,2010,5,32
38,Call of Duty: Modern Warfare 2,2009,4,22
39,Grand Theft Auto IV,2008,3,30
40,Super Mario 64,2004,1,33
41,Just Dance 3,2011,6,34
42,Call of Duty: Ghosts,2013,4,35
43,Halo: Reach,2010,2,36
44,New Super Mario Bros. 2,2012,1,37
45,Halo 4,2012,2,38
46,Call of Duty: Ghosts,2013,4,35
47,Just Dance 2,2010,6,39
48,Call of Duty 4: Modern Warfare,2007,4,40
49,Minecraft,2013,2,41
50,Animal Crossing: New Leaf,2012,1,42
51,Mario Party DS,2007,1,43
52,The Elder Scrolls V: Skyrim,2011,7,44
53,FIFA 16,2015,8,45
54,Wii Party,2010,1,46
55,Mario Party 8,2007,1,47
56,Pokemon Black 2/Pokemon White 2,2012,1,48
57,FIFA Soccer 13,2012,8,49
58,The Sims 3,2009,8,50
59,Mario & Sonic at the Olympic Games,2007,9,51
60,Pokemon Platinum Version,2008,1,
61,Super Mario Galaxy 2,2010,1,53
62,Star Wars Battlefront (2015),2015,8,54
63,Call of Duty: Advanced Warfare,2014,4,55
64,Super Smash Bros. for Wii U and 3DS,2014,1,56
65,Call of Duty: World at War,2008,4,57
66,Battlefield 3,2011,8,58
67,The Legend of Zelda: Twilight Princess,2006,1,59
68,Call of Duty: Black Ops 3,2015,4,20
69,Just Dance,2009,6,60
70,Battlefield 3,2011,8,58
71,Mario Kart 8,2014,1,61
72,Fallout 4,2015,7,62
73,Just Dance 4,2012,6,63
74,FIFA 14,2013,8,64
75,Uncharted 3: Drake's Deception,2011,5,65
76,Zumba Fitness,2010,10,66
77,Gears of War 2,2008,2,67
78,Uncharted 2: Among Thieves,2009,5,68
79,Call of Duty 4: Modern Warfare,2007,4,40
80,FIFA 12,2011,8,69
81,Big Brain Academy,2005,1,70
82,Red Dead Redemption,2010,3,71
83,FIFA 15,2014,8,72
84,Donkey Kong Country Returns,2010,1,73
85,The Elder Scrolls V: Skyrim,2011,7,44
86,Assassin's Creed III,2012,6,74
87,Halo 3: ODST,2009,2,75
88,Red Dead Redemption,2010,3,71
89,World of Warcraft,2004,4,76
90,Kinect Sports,2010,2,77
91,Gears of War 3,2011,2,78
92,Gears of War,2006,2,79
93,Metal Gear Solid 4: Guns of the Patriots,2008,11,80
94,The Last of Us,2013,12,81
95,LittleBigPlanet,2008,5,82
96,Dragon Quest IX: Sentinels of the Starry Skies,2009,1,83
97,LEGO Star Wars: The Complete Saga,2007,13,84
98,Cooking Mama,2006,10,85
99,Destiny,2014,4,86
100,Assassin's Creed II,2009,6,87
101,Assassin's Creed,2007,6,88
102,Batman: Arkham City,2011,14,89
103,Forza Motorsport 3,2009,2,90
104,Call of Duty: World at War,2008,4,57
105,Minecraft,2014,5,41
106,Final Fantasy XIII,2009,15,91
107,Assassin's Creed III,2012,6,74
108,Assassin's Creed II,2009,6,87
109,Professor Layton and the Curious Village,2007,1,92
110,Diablo III,2012,4,93
111,New Super Mario Bros. U,2012,1,94
112,FIFA Soccer 13,2012,8,49
113,The Legend of Zelda: Phantom Hourglass,2007,1,95
114,Tomodachi Life,2013,1,96
115,Mario & Sonic at the Olympic Games,2008,9,51
116,Fable III,2010,2,97
117,Call of Duty: Advanced Warfare,2014,4,55
118,Microsoft Flight Simulator,1996,2,98
119,Resident Evil 5,2009,16,99
120,Grand Theft Auto V,2014,3,12
121,FIFA Soccer 11,2010,8,100
122,Super Smash Bros. for Wii U and 3DS,2014,1,56
123,Link's Crossbow Training,2007,1,101
124,Fallout 3,2008,7,102
125,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,1,103
126,Uncharted: Drake's Fortune,2007,5,104
127,LEGO Star Wars: The Complete Saga,2007,13,84
128,God of War III,2010,5,105
129,StarCraft II: Wings of Liberty,2010,4,106
130,Assassin's Creed,2007,6,88
131,FIFA 15,2014,8,72
132,FIFA 17,2016,8,107
133,Batman: Arkham City,2011,14,89
134,Animal Crossing: City Folk,2008,1,108
135,Forza Motorsport 4,2011,2,109
136,Guitar Hero III: Legends of Rock,2007,4,110
137,Mario & Sonic at the Olympic Winter Games,2009,9,111
138,Luigi's Mansion: Dark Moon,2013,1,112
139,Splatoon,2015,1,113
140,The Last of Us,2014,5,81
141,Guitar Hero III: Legends of Rock,2007,4,110
142,Uncharted: The Nathan Drake Collection,2015,5,114
143,Call of Duty: Advanced Warfare,2014,4,55
144,Nintendo Land,2012,1,115
145,Michael Jackson: The Experience,2010,6,116
146,The Elder Scrolls IV: Oblivion,2006,3,117
147,Resistance: Fall of Man,2006,5,118
148,FIFA 14,2013,8,64
149,Call of Duty: Advanced Warfare,2014,4,55
150,Fable II,2008,2,119
151,Halo 5: Guardians,2015,2,120
152,Super Mario 3D World,2013,1,121
153,Batman: Arkham Asylum,2009,17,122
154,Assassin's Creed: Revelations,2011,6,123
155,Warcraft II: Tides of Darkness,1995,4,124
156,The Legend of Zelda: Ocarina of Time,2011,1,125
157,Uncharted 4: A Thief's End,2016,5,126
158,Gran Turismo 5 Prologue,2007,5,127
159,Assassin's Creed: Revelations,2011,6,123
160,Street Fighter IV,2009,16,128
161,FIFA 12,2011,8,69
162,Watch Dogs,2014,6,129
163,Half-Life,1997,18,130
164,The Legend of Zelda: Skyward Sword,2011,1,131
165,Carnival Games,2007,3,132
166,Fallout 4,2015,7,62
167,World of Warcraft: The Burning Crusade,2007,4,133
168,Fallout: New Vegas,2010,7,134
169,Forza Motorsport 2,2007,2,135
170,Far Cry 4,2014,6,136
171,Minecraft,2014,12,41
172,Fallout 3,2008,7,102
173,Professor Layton and the Diabolical Box,2007,1,137
174,Left 4 Dead 2,2009,8,138
175,EA Sports Active,2009,8,139
176,Assassin's Creed: Unity,2014,6,140
177,Assassin's Creed IV: Black Flag,2013,6,141
178,Monster Hunter 4 Ultimate,2014,1,142
179,MotorStorm,2006,5,143
180,The Elder Scrolls V: Skyrim,2011,7,44
181,Sports Champions,2010,5,144
182,NBA 2K16,2015,3,145
183,Flash Focus: Vision Training in Minutes a Day,2007,1,146
184,Mario & Luigi: Bowser's Inside Story,2009,1,147
185,Big Brain Academy: Wii Degree,2007,1,148
186,Nintendogs + cats,2011,1,149
187,Batman: Arkham Knight,2015,14,150
188,Mario & Sonic at the London 2012 Olympic Games,2011,9,151
189,LEGO Indiana Jones: The Original Adventures,2008,4,152
190,Just Dance 2014,2013,6,153
191,The Sims: Unleashed,2002,8,154
192,Super Paper Mario,2007,1,155
193,The Witcher 3: Wild Hunt,2015,19,156
194,Battlefield 4,2013,8,157
195,MySims,2007,8,158
196,Friend Collection,2009,1,159
197,Guitar Hero: World Tour,2008,4,160
198,Gran Turismo 6,2013,5,161
199,FIFA Soccer 10,2009,8,162
200,Call of Duty: Ghosts,2013,4,35
201,Tom Clancy's The Division,2016,6,163
202,Doom II: Hell on Earth,1994,20,164
203,Cooking Mama 2: Dinner With Friends,2007,10,165
204,Battlefield 4,2013,8,157
205,FIFA Soccer 11,2010,8,100
206,Left 4 Dead,2008,8,166
207,Mario & Sonic at the Olympic Winter Games,2009,9,111
208,Resident Evil 5,2009,16,99
209,Assassin's Creed: Brotherhood,2010,6,167
210,Batman: Arkham Asylum,2009,17,122
211,Clubhouse Games,2006,1,168
212,Star Wars Battlefront (2015),2015,8,54
213,Battlefield: Bad Company 2,2010,8,169
214,Guitar Hero: On Tour,2008,4,170
215,Assassin's Creed: Unity,2014,6,140
216,Far Cry 3,2012,6,171
217,Monster Hunter 4,2013,16,172
218,Borderlands,2009,3,173
219,Battlefield 4,2013,8,157
220,LittleBigPlanet 2,2011,5,174
221,LEGO Batman: The Videogame,2008,14,175
222,Metal Gear Solid V: The Phantom Pain,2015,11,176
223,The Legend of Zelda: Spirit Tracks,2009,1,177
224,Professor Layton and the Unwound Future,2008,1,178
225,Assassin's Creed IV: Black Flag,2013,6,141
226,English Training: Have Fun Improving Your Skills!,2006,1,179
227,Mario Party 9,2012,1,180
228,Assassin's Creed Syndicate,2015,6,181
229,Destiny,2014,4,86
230,Wii Music,2008,1,182
231,Monster Hunter X,2015,16,183
232,FIFA 16,2015,8,45
233,L.A. Noire,2011,3,184
234,Madden NFL 16,2015,8,185
235,Yokai Watch 2 Ganso/Honke,2014,1,186
236,Dance Central,2010,21,187
237,Super Mario Maker,2015,1,188
238,Fallout: New Vegas,2010,7,134
239,LEGO Batman: The Videogame,0,14,175
240,Rhythm Heaven,2008,1,189
241,Club Penguin: Elite Penguin Force,2008,22,190
242,LEGO Batman: The Videogame,2008,14,175
243,Sonic Rush,2005,9,191
244,Resident Evil 6,2012,16,192
245,Halo: The Master Chief Collection,2014,2,193
246,Personal Trainer: Cooking,2006,1,194
247,The Elder Scrolls IV: Oblivion,2007,6,117
248,Heavy Rain,2010,5,195
249,Mass Effect 2,2010,8,196
250,FIFA 15,2014,8,72
251,Borderlands 2,2012,3,197
252,The Legend of Zelda: A Link Between Worlds,2013,1,198
253,The Sims: Vacation,2002,8,199
254,Mass Effect 3,2012,8,200
255,Kung Fu Panda,2008,4,201
256,Far Cry 3,2012,6,171
257,Epic Mickey,2010,22,202
258,Saints Row 2,2008,23,203
259,Killzone 2,2009,5,204
260,Gears of War: Ultimate Edition,2015,2,205
261,NBA 2K13,2012,3,206
262,Middle-Earth: Shadow of Mordor,2014,14,207
263,The Sims: Livin Large,2000,8,208
264,Animal Crossing: Happy Home Designer,2015,1,209
265,Battlefield: Bad Company 2,2010,8,169
266,The Sims 4,2014,8,210
